series,custom name,total count
Toyota/RAV4,Miles traveled,8019.616272592261
Ford/F-150,Miles traveled,7255.875611765129
Ford/Mustang Mach-E,Miles traveled,4921.7462448743345
BMW/4 Series Gran Coupe,Miles traveled,4266.472307178873
Honda/Accord,Miles traveled,4198.80305685258
Ram/1500,Miles traveled,3669.4815462252814
Toyota/Corolla Hybrid,Miles traveled,3463.3117925346132
BMW/i3,Miles traveled,3419.5303524088613
Volkswagen/Polo,Miles traveled,3362.6952065191117
Audi/A4,Miles traveled,3361.3569249159605
Toyota/Corolla,Miles traveled,3354.063765503657
Hyundai/Kona Electric,Miles traveled,3322.1942544854955
Toyota/4Runner,Miles traveled,3260.131128577041
Hyundai/IONIQ 5,Miles traveled,3039.0225816217553
Ford/F-150 Lightning,Miles traveled,2960.214513935326
Hyundai/i30,Miles traveled,2898.5131408240427
Kia/EV9,Miles traveled,2858.3683850997368
Hyundai/Tucson,Miles traveled,2803.0641789989836
Volkswagen/Golf,Miles traveled,2575.9037815468923
Chevrolet/Silverado 1500,Miles traveled,2533.734058501475
Jeep/Grand Cherokee,Miles traveled,2433.620673668305
Volkswagen/GTI,Miles traveled,2413.3540611235276
Toyota/Camry,Miles traveled,2341.205498862546
Honda/CR-V,Miles traveled,2308.898317140433
Mitsubishi/ASX,Miles traveled,2210.683143318089
Chevrolet/Silverado 2500,Miles traveled,2045.585320740437
Subaru/Outback,Miles traveled,2001.4429560914657
Chrysler/200,Miles traveled,1846.75159015198
Porsche/Taycan,Miles traveled,1823.0039198239258
Chevrolet/Malibu,Miles traveled,1809.8098617382573
Ford/Escape,Miles traveled,1709.825076269444
Honda/Civic,Miles traveled,1684.4124197285612
Subaru/WRX,Miles traveled,1680.279315923336
Lucid/Air,Miles traveled,1645.3234183390912
/,Miles traveled,1630.7772371398935
Seat/Leon,Miles traveled,1605.4803459134241
Kia/EV6,Miles traveled,1579.4515415150727
Mercedes-Benz/G-Class,Miles traveled,1546.0412780151144
Mazda/CX-5,Miles traveled,1529.2163709117222
Volkswagen/Arteon,Miles traveled,1485.5757198028084
Hyundai/Elantra,Miles traveled,1473.6803279111166
Ford/Focus,Miles traveled,1470.9224443735536
Volkswagen/T-Roc,Miles traveled,1455.998268785142
Honda/Ridgeline,Miles traveled,1418.0080659459034
Hyundai/IONIQ 6,Miles traveled,1374.0115336265374
Honda/Insight,Miles traveled,1365.7177887615724
Nissan/Rogue,Miles traveled,1351.3003923035096
Subaru/Crosstrek,Miles traveled,1335.5914832610817
Audi/Q4,Miles traveled,1230.180391367286
Volvo/S60,Miles traveled,1150.688413106479
Acura/TLX,Miles traveled,1121.9323437634011
BMW/5 Series,Miles traveled,1121.3237125027056
