series,custom name,total count
Toyota/RAV4,Miles traveled,3484.303081905985
Ford/F-150,Miles traveled,2853.8582848054375
BMW/4 Series Gran Coupe,Miles traveled,1727.1863689565264
Kia/EV9,Miles traveled,1569.2162748164606
Jeep/Grand Cherokee,Miles traveled,1421.9949060217891
Toyota/Corolla Hybrid,Miles traveled,1364.338223635178
Hyundai/IONIQ 5,Miles traveled,1250.8891277675414
Hyundai/Tucson,Miles traveled,1233.1539945693594
Honda/Ridgeline,Miles traveled,1155.5507891884934
Toyota/4Runner,Miles traveled,1120.3007406765064
Honda/Insight,Miles traveled,1118.1457526850736
Hyundai/i30,Miles traveled,1057.2056879475608
Volkswagen/Golf GTI,Miles traveled,1008.3368287102764
Volkswagen/Polo,Miles traveled,984.8095522546257
Mitsubishi/ASX,Miles traveled,955.9422950301193
Honda/Accord,Miles traveled,898.0180849909618
Hyundai/Kona Electric,Miles traveled,821.0665662640484
Ford/Edge,Miles traveled,809.9710985841674
Ford/Mustang Mach-E,Miles traveled,718.4035927194609
Chevrolet/Silverado 1500,Miles traveled,708.6718720952557
BMW/i3,Miles traveled,684.464213067611
Mazda/CX-5,Miles traveled,670.8796890973283
Ford/Taurus,Miles traveled,646.4292520976508
Audi/Q4,Miles traveled,597.9109606775262
Mercedes-Benz/A 180,Miles traveled,565.6330290250281
Audi/A4,Miles traveled,560.8025187966896
BMW/5 Series,Miles traveled,535.3985475327564
Volkswagen/Golf,Miles traveled,531.5287932233456
Volkswagen/GTI,Miles traveled,469.17633877465954
Genesis/GV80,Miles traveled,462.7603287788496
Acura/TLX,Miles traveled,460.5016611477779
Volkswagen/T-Roc,Miles traveled,458.48742790028774
Toyota/bZ4X,Miles traveled,395.7719048032259
Nissan/Rogue,Miles traveled,390.84086289977427
Hyundai/Sonata,Miles traveled,390.6739312456968
Seat/Leon,Miles traveled,371.450990578486
Subaru/Ascent,Miles traveled,359.9256874595277
Mercedes-Benz/G-Class,Miles traveled,346.49329586991746
Audi/Audi A5,Miles traveled,341.07391921649173
Suzuki/Swift,Miles traveled,338.45821686072605
Ford/Focus,Miles traveled,337.96205242587547
Cupra/Formentor,Miles traveled,323.16586076986823
Ford/Maverick,Miles traveled,316.0425157179898
Audi/RS 3,Miles traveled,303.6261654997576
Subaru/WRX,Miles traveled,302.9439606087804
Kia/K5,Miles traveled,302.15212311683274
Ford/F-150 Lightning,Miles traveled,301.08979932674765
Kia/Carnival,Miles traveled,293.46045777300395
/,Miles traveled,289.9124530272377
Lucid/Air,Miles traveled,283.27771079627047
Toyota/Highlander,Miles traveled,278.0923989399682
Hyundai/Santa Cruz,Miles traveled,252.87276243114513
Ford/Fusion,Miles traveled,251.61863173579616
Ram/1500,Miles traveled,244.89208580116158
Hyundai/Elantra,Miles traveled,244.19895741931435
Toyota/Camry,Miles traveled,242.473886443642
Mazda/CX-90,Miles traveled,242.40596811952418
Mazda/3,Miles traveled,239.95409166245884
GMC/Sierra 1500 Limited,Miles traveled,237.79314224069543
Subaru/Outback,Miles traveled,229.2255836025479
Porsche/Taycan,Miles traveled,222.49138864884236
Toyota/Tundra,Miles traveled,221.5151675259666
Ford/Transit Connect,Miles traveled,219.8961346243236
Honda/Civic,Miles traveled,198.20107990826162
Dodge/Charger,Miles traveled,195.92477444410142
Volkswagen/e-Golf,Miles traveled,177.03805573968685
BMW/335d Xdrive,Miles traveled,173.40228580464856
Chevrolet/Silverado 2500,Miles traveled,172.73354714724843
Jeep/Compass,Miles traveled,170.43501008447953
Vauxhall/Opel/Astra,Miles traveled,167.1602509290987
Toyota/Corolla,Miles traveled,162.1393073431681
BMW/X5,Miles traveled,158.5241082795562
BMW/3 Series,Miles traveled,150.08288927848733
Lincoln/Navigator,Miles traveled,144.74706421466425
Toyota/Prius,Miles traveled,140.10477832167697
