series,custom name,total count
Honda/Civic,# of stigs,80
/,# of stigs,75
Porsche/Taycan,# of stigs,69
Toyota/4Runner,# of stigs,61
Ford/F-150,# of stigs,57
Toyota/Camry,# of stigs,51
Honda/Accord,# of stigs,50
Volkswagen/Golf,# of stigs,45
Toyota/Corolla,# of stigs,42
Mazda/3,# of stigs,39
Toyota/RAV4,# of stigs,38
Toyota/Tacoma,# of stigs,32
Audi/A4,# of stigs,31
Hyundai/IONIQ 5,# of stigs,31
Hyundai/Elantra,# of stigs,30
Kia/EV9,# of stigs,30
Tesla/Model 3,# of stigs,30
Honda/CR-V,# of stigs,29
Volkswagen/Polo,# of stigs,29
Porsche/Cayenne,# of stigs,28
BMW/3 Series,# of stigs,25
Polestar/2,# of stigs,24
Ford/Mustang,# of stigs,23
Ford/Escape,# of stigs,21
Ford/Mustang Mach-E,# of stigs,20
Subaru/Crosstrek,# of stigs,20
Mazda/CX-5,# of stigs,18
Ram/1500,# of stigs,18
Volkswagen/Tiguan,# of stigs,18
Chevrolet/Silverado 1500,# of stigs,17
Hyundai/Sonata,# of stigs,17
Kia/Forte,# of stigs,16
Porsche/Macan,# of stigs,16
Volkswagen/ID.4,# of stigs,16
Volkswagen/Jetta,# of stigs,16
Ford/F-150 Lightning,# of stigs,15
Hyundai/Tucson,# of stigs,15
Seat/Leon,# of stigs,14
BMW/,# of stigs,13
BMW/5 Series,# of stigs,13
Jeep/Wrangler,# of stigs,13
MG/MG4,# of stigs,13
Vauxhall/Opel/Corsa,# of stigs,13
Chevrolet/Bolt EUV,# of stigs,12
Chevrolet/Bolt EV,# of stigs,12
Ford/Fiesta,# of stigs,12
Ford/Ranger,# of stigs,12
Hyundai/Santa Fe,# of stigs,12
Jeep/Grand Cherokee,# of stigs,12
Kia/EV6,# of stigs,12
Nissan/Rogue,# of stigs,12
Nissan/Sentra,# of stigs,12
Subaru/Outback,# of stigs,12
Tesla/Model Y,# of stigs,12
Toyota/RAV4 Hybrid,# of stigs,12
Dodge/Charger,# of stigs,11
Kia/K5,# of stigs,11
Subaru/Forester,# of stigs,11
BMW/X3,# of stigs,10
BMW/X5,# of stigs,10
Chevrolet/Malibu,# of stigs,10
Ford/Focus,# of stigs,10
Ford/Fusion,# of stigs,10
Nissan/LEAF,# of stigs,10
Peugeot/208,# of stigs,10
Toyota/Tundra,# of stigs,10
Audi/A3,# of stigs,9
Ford/Edge,# of stigs,9
Jeep/Compass,# of stigs,9
MINI/Cooper,# of stigs,9
Toyota/Highlander,# of stigs,9
Volkswagen/GTI,# of stigs,9
Acura/Integra,# of stigs,8
Acura/TLX,# of stigs,8
Audi/,# of stigs,8
BMW/1 Series,# of stigs,8
BMW/2 Series,# of stigs,8
Ford/Explorer,# of stigs,8
GMC/Sierra 1500,# of stigs,8
Honda/HR-V,# of stigs,8
Honda/Pilot,# of stigs,8
Hyundai/IONIQ 6,# of stigs,8
Hyundai/Kona,# of stigs,8
Hyundai/Kona Electric,# of stigs,8
Hyundai/i20,# of stigs,8
Kia/Niro,# of stigs,8
Mazda/CX-30,# of stigs,8
Mercedes-Benz/C-Class,# of stigs,8
Toyota/Corolla Hybrid,# of stigs,8
Toyota/Prius,# of stigs,8
Toyota/Yaris,# of stigs,8
Audi/A6,# of stigs,7
BYD/Atto 3,# of stigs,7
Ford/Fusion Hybrid,# of stigs,7
GMC/Canyon,# of stigs,7
Hyundai/i30,# of stigs,7
Kia/Seltos,# of stigs,7
Kia/Sorento,# of stigs,7
Subaru/Impreza,# of stigs,7
Subaru/WRX,# of stigs,7
Volkswagen/,# of stigs,7
Volkswagen/Passat,# of stigs,7
