series,custom name,total count
The stig,Miles traveled,18583578.892209776
Porsche/Taycan,Miles traveled,324030.6654673414
Toyota/Camry,Miles traveled,282521.0186650319
Ford/F-150,Miles traveled,195506.78937496836
Land Rover/Defender,Miles traveled,128755.99779632437
Honda/Civic,Miles traveled,117248.86764389987
Toyota/4Runner,Miles traveled,114973.9404353328
Volkswagen/Golf,Miles traveled,108583.3395992724
Honda/Accord,Miles traveled,99238.21294717031
Hyundai/Elantra,Miles traveled,92733.82993911915
Ford/Escape,Miles traveled,90507.40146006338
Toyota/RAV4,Miles traveled,83471.73680954482
Tesla/Model 3,Miles traveled,77686.74231513892
Hyundai/Sonata,Miles traveled,65242.10841980711
Kia/K5,Miles traveled,64249.54118067894
Ford/Taurus,Miles traveled,61459.76966561294
Ford/Mustang Mach-E,Miles traveled,60422.054127054354
Honda/CR-V,Miles traveled,54185.94890249291
Subaru/Crosstrek,Miles traveled,53545.199276296895
Toyota/Corolla Hybrid,Miles traveled,51803.003313582485
Ram/1500,Miles traveled,50308.43482509598
Nissan/Altima,Miles traveled,48260.51476707494
Kia/EV9,Miles traveled,48079.66402617284
Jeep/Grand Cherokee,Miles traveled,46902.557352407675
Chevrolet/Bolt EV,Miles traveled,46822.81274856193
Toyota/Corolla,Miles traveled,46512.425280511554
Volkswagen/Jetta,Miles traveled,46454.19649085756
Toyota/Tacoma,Miles traveled,44142.61771705859
Kia/EV6,Miles traveled,44089.159026636036
Ford/Explorer,Miles traveled,43556.144958962075
Tesla/Model Y,Miles traveled,43467.568845659516
Toyota/RAV4 Hybrid,Miles traveled,41645.998997536066
Chevrolet/Silverado 1500,Miles traveled,41113.99810370784
Audi/A4,Miles traveled,40228.53828345711
Hyundai/IONIQ 5,Miles traveled,38066.157433699664
Ford/Fusion,Miles traveled,37351.82825722148
Hyundai/Kona Electric,Miles traveled,36506.39377164795
Nissan/Rogue,Miles traveled,35421.57898295341
Chevrolet/Malibu,Miles traveled,34706.381640615866
Mazda/3,Miles traveled,34087.3423660442
Subaru/Forester,Miles traveled,33834.80859904824
MG/MG4,Miles traveled,33806.55937676639
Kia/Forte,Miles traveled,31441.359873531423
Ford/Fiesta,Miles traveled,31367.348309040288
Ford/Bronco,Miles traveled,31209.986281062473
Hyundai/Tucson,Miles traveled,30832.140552606375
Volkswagen/Polo,Miles traveled,30292.838753671433
Kia/Sorento,Miles traveled,29988.344978041347
Dodge/Challenger,Miles traveled,29701.90108709583
Mazda/CX-5,Miles traveled,29565.28420295798
BMW/i3,Miles traveled,29471.469479622985
Mazda/MX-5 Miata,Miles traveled,29165.8699146155
Ford/Transit Connect,Miles traveled,28613.03175220935
Nissan/Sentra,Miles traveled,26335.79914366382
Honda/Pilot,Miles traveled,26177.284837232804
Toyota/Prius,Miles traveled,26030.1460878676
Chevrolet/Bolt EUV,Miles traveled,26018.77724179178
Jeep/Wrangler,Miles traveled,25485.34478237792
Toyota/Tundra,Miles traveled,25341.25641220409
BMW/5 Series,Miles traveled,25138.290939798437
Subaru/WRX,Miles traveled,24940.80401817549
Porsche/Cayenne,Miles traveled,24808.05422286547
Hyundai/IONIQ 6,Miles traveled,24749.97089259117
Audi/Q4 e-tron,Miles traveled,24624.9352117113
