series,custom name,total count
The stig,Miles traveled,80152161.91919027
Porsche/Taycan,Miles traveled,771392.794341151
Toyota/Camry,Miles traveled,560914.4663914678
Land Rover/Defender,Miles traveled,490703.6213184713
Ford/F-150,Miles traveled,450199.57816929417
Toyota/4Runner,Miles traveled,426262.88438398007
Honda/Civic,Miles traveled,316478.0303776621
Volkswagen/Golf,Miles traveled,272055.2661789377
Hyundai/Elantra,Miles traveled,238638.69789552063
Honda/Accord,Miles traveled,210479.4697915701
Toyota/Tacoma,Miles traveled,203536.40467851883
Subaru/Crosstrek,Miles traveled,197062.7875325153
Hyundai/Sonata,Miles traveled,194738.72329613197
Tesla/Model 3,Miles traveled,193047.08657535925
Ford/Taurus,Miles traveled,189495.95946402667
Ford/Escape,Miles traveled,161758.77338366356
Toyota/RAV4,Miles traveled,154999.22810621577
BMW/3 Series,Miles traveled,153991.56659917373
Ram/1500,Miles traveled,141373.51634542007
Hyundai/IONIQ 5,Miles traveled,139817.77586549174
GMC/Sierra 1500,Miles traveled,139195.29713678447
Jeep/Grand Cherokee,Miles traveled,138501.67134890132
Mazda/3,Miles traveled,135069.61036846193
Kia/K5,Miles traveled,132405.70991996568
Nissan/Patrol,Miles traveled,125500.13256290636
Chevrolet/Silverado 1500,Miles traveled,124298.29784901206
Toyota/Corolla,Miles traveled,122615.2327994437
Jeep/Wrangler,Miles traveled,120924.21105180932
Toyota/RAV4 Hybrid,Miles traveled,116338.97883717359
Ford/Explorer,Miles traveled,114358.79767143144
Ford/Mustang Mach-E,Miles traveled,114238.53821675469
Nissan/Altima,Miles traveled,108453.60226318488
Mazda/CX-5,Miles traveled,106945.01937679145
Volkswagen/Jetta,Miles traveled,104278.01160091552
Chevrolet/Bolt EV,Miles traveled,101590.61338544646
Volkswagen/ID.4,Miles traveled,96850.536020775
Tesla/Model Y,Miles traveled,93809.71846664067
Toyota/Corolla Hybrid,Miles traveled,92290.25415815353
Toyota/Prius,Miles traveled,87969.4027479263
Ford/Ranger,Miles traveled,87855.40422907747
Kia/EV6,Miles traveled,83766.58433113061
Subaru/Impreza,Miles traveled,83075.02006868232
Mazda/MX-5,Miles traveled,81986.06296124065
MG/MG4,Miles traveled,80254.27542721017
Subaru/Forester,Miles traveled,80064.48650387979
Hyundai/Tucson,Miles traveled,76786.0503923017
Toyota/Land Cruiser,Miles traveled,75405.43057548722
Honda/CR-V,Miles traveled,74363.26492155755
BMW/2 Series,Miles traveled,73258.598873264
Seat/Leon,Miles traveled,71190.90852948518
Kia/EV9,Miles traveled,70873.80868612764
BMW/5 Series,Miles traveled,70205.2830779624
Ford/Bronco,Miles traveled,69957.33092202467
Ford/F-150 Lightning,Miles traveled,68943.04831896328
Ford/Fiesta,Miles traveled,68360.8284103662
Volkswagen/Tiguan,Miles traveled,68353.63022402904
Audi/A6,Miles traveled,67875.34830161712
Chevrolet/Malibu,Miles traveled,67572.1029487105
Porsche/Cayenne,Miles traveled,65905.45903535659
Lexus/ES,Miles traveled,65734.54116296099
Ford/Mustang,Miles traveled,65602.00979042523
Audi/A4,Miles traveled,64023.8828335829
Nissan/Armada,Miles traveled,64017.22180832825
Ford/Fusion,Miles traveled,63555.004577440086
Toyota/Land Cruiser Hybrid,Miles traveled,61925.31071556228
Hyundai/Kona Electric,Miles traveled,61696.504327149014
Nissan/Sentra,Miles traveled,60451.38951442329
Honda/Pilot,Miles traveled,58089.77432635631
Chevrolet/Bolt EUV,Miles traveled,57911.94542886361
Nissan/Rogue,Miles traveled,57500.36887749611
Ford/Focus,Miles traveled,57052.485923289234
Toyota/Tundra,Miles traveled,56903.435100921546
Dodge/Challenger,Miles traveled,56825.39888980376
Hyundai/Santa Fe,Miles traveled,56124.046836117
Ford/Maverick,Miles traveled,55509.83598712164
Kia/Optima,Miles traveled,54573.84054385671
Porsche/Macan,Miles traveled,53490.77930793018
Subaru/Outback,Miles traveled,53489.93603704994
Mercedes-Benz/C-Class,Miles traveled,53365.11833265281
BMW/X5,Miles traveled,51152.00060355504
Chevrolet/Colorado,Miles traveled,49971.49674423371
Kia/Forte,Miles traveled,49818.4531076737
Volvo/S60,Miles traveled,48686.788876684404
Audi/Q4 e-tron,Miles traveled,47353.07385438658
Audi/SQ5,Miles traveled,46934.290359048064
Kia/Stinger,Miles traveled,46531.56987881772
Toyota/Highlander,Miles traveled,46174.764719941246
Nissan/Frontier,Miles traveled,45221.035762547865
Mazda/CX-30,Miles traveled,43778.06858266051
Toyota/Grand Highlander,Miles traveled,43525.44024044858
Toyota/Sequoia,Miles traveled,43218.97664614389
Audi/S4,Miles traveled,42984.9453447489
Kia/K4,Miles traveled,42966.996382678706
Volvo/XC40,Miles traveled,42620.975618369404
Volkswagen/Passat,Miles traveled,42487.44916281734
Ford/Edge,Miles traveled,41563.35405902324
BMW/i3,Miles traveled,40816.03707275882
Kia/Sorento,Miles traveled,40442.79289107247
Hyundai/Kona,Miles traveled,40362.947244477415
Toyota/Yaris,Miles traveled,40336.914607627776
Hyundai/IONIQ 6,Miles traveled,40328.99954605264
Ford/Bronco Sport,Miles traveled,39688.07589624667
Acura/TLX,Miles traveled,39517.90268035993
Nissan/Kicks,Miles traveled,39502.36067499424
Subaru/WRX,Miles traveled,38485.93592783176
Polestar/2,Miles traveled,37930.03105315591
Volkswagen/Arteon,Miles traveled,37902.83567929308
BMW/4 Series,Miles traveled,36750.64332446272
Hyundai/Azera,Miles traveled,36216.245435772384
Ford/F-250,Miles traveled,35530.31167760493
Volvo/XC60,Miles traveled,35146.334137455226
Porsche/Panamera,Miles traveled,34658.276332642316
Toyota/GR Corolla,Miles traveled,34651.46460291382
Volkswagen/Polo,Miles traveled,34622.60900519885
Hyundai/Veloster,Miles traveled,34606.03270415989
MINI/Cooper,Miles traveled,34502.6440286113
Chevrolet/Trailblazer,Miles traveled,33399.34162592194
Ford/F-350,Miles traveled,33322.76357160403
Lexus/IS,Miles traveled,33085.94000095153
Mazda/6,Miles traveled,32839.342182491026
Chevrolet/Blazer,Miles traveled,32300.845956174413
Volkswagen/Atlas,Miles traveled,32260.71454891351
Toyota/Prius Prime,Miles traveled,31765.061047624953
