series,custom name,total count
The stig,# of stigs,125146
Toyota/Camry,# of stigs,1406
Porsche/Taycan,# of stigs,1356
Toyota/4Runner,# of stigs,918
Honda/Civic,# of stigs,454
Ford/F-150,# of stigs,441
Honda/Accord,# of stigs,332
Hyundai/Elantra,# of stigs,331
Volkswagen/Golf,# of stigs,317
Tesla/Model 3,# of stigs,307
BMW/3 Series,# of stigs,294
Land Rover/Defender,# of stigs,282
Hyundai/Sonata,# of stigs,262
Ford/Taurus,# of stigs,261
Nissan/Altima,# of stigs,257
Porsche/Cayenne,# of stigs,256
Toyota/Corolla,# of stigs,233
Tesla/Model Y,# of stigs,214
MG/MG4,# of stigs,200
Toyota/Tacoma,# of stigs,198
Ram/1500,# of stigs,194
Toyota/RAV4,# of stigs,175
Jeep/Wrangler,# of stigs,175
Honda/CR-V,# of stigs,174
Hyundai/IONIQ 5,# of stigs,162
Porsche/Macan,# of stigs,160
Chevrolet/Silverado 1500,# of stigs,158
Mazda/3,# of stigs,154
BMW/5 Series,# of stigs,152
GMC/Sierra 1500,# of stigs,151
Toyota/Corolla Hybrid,# of stigs,146
Kia/K5,# of stigs,146
Mazda/CX-5,# of stigs,138
Volkswagen/Jetta,# of stigs,135
Jeep/Grand Cherokee,# of stigs,132
Polestar/2,# of stigs,130
Volkswagen/Tiguan,# of stigs,124
Toyota/Land Cruiser Hybrid,# of stigs,122
Toyota/Land Cruiser,# of stigs,120
Lexus/ES,# of stigs,116
Ford/Mustang,# of stigs,115
Hyundai/Tucson,# of stigs,114
Ford/Mustang Mach-E,# of stigs,112
Mercedes-Benz/C-Class,# of stigs,110
Audi/A4,# of stigs,106
Kia/Sportage,# of stigs,105
Volkswagen/Polo,# of stigs,103
Ford/Ranger,# of stigs,102
Subaru/Outback,# of stigs,99
Ford/Focus,# of stigs,97
Nissan/Sentra,# of stigs,97
Toyota/Tundra,# of stigs,94
Subaru/Crosstrek,# of stigs,93
Ford/Escape,# of stigs,93
Kia/Forte,# of stigs,93
Volvo/XC60,# of stigs,91
Dodge/Charger,# of stigs,89
Chevrolet/Malibu,# of stigs,89
Volkswagen/ID.4,# of stigs,89
Nissan/Patrol,# of stigs,84
BMW/X5,# of stigs,84
Toyota/Yaris,# of stigs,83
Volvo/XC40,# of stigs,81
BMW/X3,# of stigs,79
Seat/Leon,# of stigs,77
Ford/F-150 Lightning,# of stigs,77
Hyundai/Kona,# of stigs,74
Audi/A3,# of stigs,74
Kia/EV9,# of stigs,74
Toyota/RAV4 Hybrid,# of stigs,73
GMC/Sierra,# of stigs,72
Toyota/Highlander,# of stigs,72
Hyundai/Accent,# of stigs,72
Nissan/Rogue,# of stigs,71
Kia/EV6,# of stigs,71
Ford/Explorer,# of stigs,70
Ford/Fiesta,# of stigs,70
MINI/Cooper,# of stigs,70
Mercedes-Benz/E-Class,# of stigs,70
Volkswagen/Passat,# of stigs,69
Chevrolet/Tahoe,# of stigs,68
Hyundai/Santa Fe,# of stigs,68
Subaru/Forester,# of stigs,67
Ford/Fusion,# of stigs,67
GMC/Yukon,# of stigs,66
Porsche/Panamera,# of stigs,65
Hyundai/Azera,# of stigs,64
Peugeot/208,# of stigs,64
BMW/1 Series,# of stigs,63
Lexus/IS,# of stigs,62
Subaru/Impreza,# of stigs,60
Mazda/6,# of stigs,58
BMW/4 Series,# of stigs,58
Kia/Sorento,# of stigs,56
Audi/A6,# of stigs,56
Kia/Optima,# of stigs,56
Subaru/WRX,# of stigs,55
Jeep/Compass,# of stigs,54
Ford/Maverick,# of stigs,54
Ford/Bronco,# of stigs,53
Toyota/Prius,# of stigs,53
Chevrolet/Equinox,# of stigs,53
Mazda/MX-5,# of stigs,51
